scenario,arm,arm_label,lambda,cost_std,seed,horizon,cycle,price,observed_demand,estimated_elasticity,true_elasticity,residual_bias,realized_profit,oracle_price,oracle_profit,cumulative_regret
reference,greedy,Naive (greedy),0.6,0.3,2,200,119,5.015730625595518,6.129892230869224,-1.6337108254221486,-1.5,-0.13371082542214863,18.819663624390873,3.891169410620707,17.160714557290135,1068.1363496709764
reference,greedy,Naive (greedy),0.6,0.3,2,200,120,1.54851399470179,74.24389855176203,-1.5912564829741824,-1.5,-0.09125648297418243,70.37213326839282,1.2013265340353618,64.69103807936436,1062.455254481948
reference,greedy,Naive (greedy),0.6,0.3,2,200,121,2.8053142282806283,20.814224996837773,-1.5912564829741824,-1.5,-0.09125648297418243,36.69455060137573,2.084717632886525,34.35246827240982,1060.113172152982
reference,greedy,Naive (greedy),0.6,0.3,2,200,122,3.044462912464043,17.792935374023592,-1.5912564829741824,-1.5,-0.09125648297418243,34.04223796080726,2.262436575660483,31.730813159001016,1057.801747351176
reference,greedy,Naive (greedy),0.6,0.3,2,200,123,2.0029911057648957,41.83608571624815,-1.5912564829741824,-1.5,-0.09125648297418243,52.66109422727324,1.4884859723048627,48.929724779418244,1054.0703779033208
reference,greedy,Naive (greedy),0.6,0.3,2,200,124,2.861531754666918,19.589242987590854,-1.599142485950221,-1.5,-0.09914248595022102,35.22703062557575,2.126494652855725,32.680133477236126,1051.5234807549812
reference,greedy,Naive (greedy),0.6,0.3,2,200,125,1.9206089663651886,44.210303816183334,-1.599142485950221,-1.5,-0.09914248595022102,53.09764868427988,1.4391693557720207,49.01233140013642,1047.4381634708377
reference,greedy,Naive (greedy),0.6,0.3,2,200,126,3.8260923610902746,10.665767755960841,-1.599142485950221,-1.5,-0.09914248595022102,25.51880954622766,2.867004671365021,23.559127632437207,1045.4784815570472
reference,greedy,Naive (greedy),0.6,0.3,2,200,127,2.233229308847067,33.87541456123875,-1.599142485950221,-1.5,-0.09914248595022102,47.30758472879321,1.673425065690083,43.6836410856328,1041.8545379138868
reference,greedy,Naive (greedy),0.6,0.3,2,200,128,2.750799207750851,21.586115156183766,-1.5607649829243737,-1.5,-0.06076498292437371,37.131818453791816,2.0612555668576578,34.290008053381996,1039.012727513477
reference,greedy,Naive (greedy),0.6,0.3,2,200,129,3.4174748716286603,14.050576721728682,-1.5607649829243737,-1.5,-0.06076498292437371,30.765357631505143,2.4557191620773056,28.91769762192516,1037.165067503897
reference,greedy,Naive (greedy),0.6,0.3,2,200,130,2.4465616984105734,28.500405913226952,-1.5607649829243737,-1.5,-0.06076498292437371,44.675529153535564,1.7580431955386955,41.69007019899962,1034.179608549361
reference,greedy,Naive (greedy),0.6,0.3,2,200,131,1.6262231078071874,62.94597429095305,-1.5607649829243737,-1.5,-0.06076498292437371,65.58591399429483,1.1685666750058121,60.985754285669096,1029.5794488407353
