category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
DID,baseline,greedy,0,0.0,0.0,0.24,promo,-2.55,-0.3627,2.1873,3330.34,88.85
DID,exploration,controlled_variance,0,0.0,0.0,0.24,promo,-2.55,-2.3952,0.1548,2100.45,56.04
DID,causal,twosls,0,0.0,0.0,0.24,promo,-2.55,-0.9203,1.6297,2264.41,60.41
DID,baseline,greedy,0,0.4,0.0,0.24,promo,-2.55,-2.3828,0.1672,2257.62,60.23
DID,exploration,controlled_variance,0,0.4,0.0,0.24,promo,-2.55,-2.3235,0.2265,2550.22,68.04
DID,causal,twosls,0,0.4,0.0,0.24,promo,-2.55,-2.0,0.55,938.98,25.05
DID,baseline,greedy,0,0.8,0.0,0.24,promo,-2.55,-2.3231,0.2269,3051.06,81.4
DID,exploration,controlled_variance,0,0.8,0.0,0.24,promo,-2.55,-2.3263,0.2237,5059.92,134.99
DID,causal,twosls,0,0.8,0.0,0.24,promo,-2.55,-2.0,0.55,2243.97,59.87
PTW,baseline,greedy,0,0.0,0.0,0.24,promo,-2.55,-0.3538,2.1962,3857.87,89.53
PTW,exploration,controlled_variance,0,0.0,0.0,0.24,promo,-2.55,-2.3605,0.1895,2560.75,59.43
PTW,causal,twosls,0,0.0,0.0,0.24,promo,-2.55,-1.2766,1.2734,1629.64,37.82
PTW,baseline,greedy,0,0.4,0.0,0.24,promo,-2.55,-2.4986,0.0514,3328.61,77.25
PTW,exploration,controlled_variance,0,0.4,0.0,0.24,promo,-2.55,-2.2991,0.2509,3085.57,71.61
PTW,causal,twosls,0,0.4,0.0,0.24,promo,-2.55,-2.0,0.55,1362.61,31.62
PTW,baseline,greedy,0,0.8,0.0,0.24,promo,-2.55,-2.2403,0.3097,4053.15,94.07
PTW,exploration,controlled_variance,0,0.8,0.0,0.24,promo,-2.55,-2.2585,0.2915,6160.09,142.97
PTW,causal,twosls,0,0.8,0.0,0.24,promo,-2.55,-2.0,0.55,3231.73,75.0
SHA,baseline,greedy,0,0.0,0.0,0.14,promo,-1.3,-0.1854,1.1146,1970.63,22.65
SHA,exploration,controlled_variance,0,0.0,0.0,0.14,promo,-1.3,-0.6185,0.6815,2220.37,25.52
SHA,causal,twosls,0,0.0,0.0,0.14,promo,-1.3,-5.0242,3.7242,2795.46,32.13
SHA,baseline,greedy,0,0.4,0.0,0.14,promo,-1.3,-0.4406,0.8594,2204.1,25.33
SHA,exploration,controlled_variance,0,0.4,0.0,0.14,promo,-1.3,-0.804,0.496,2444.76,28.1
SHA,causal,twosls,0,0.4,0.0,0.14,promo,-1.3,-2.0,0.7,1308.74,15.04
SHA,baseline,greedy,0,0.8,0.0,0.14,promo,-1.3,-0.6989,0.6011,2479.11,28.5
SHA,exploration,controlled_variance,0,0.8,0.0,0.14,promo,-1.3,-0.902,0.398,2710.87,31.16
SHA,causal,twosls,0,0.8,0.0,0.14,promo,-1.3,-2.0,0.7,1456.53,16.74
TNA,baseline,greedy,0,0.0,0.0,0.2,promo,-1.81,-0.2523,1.5577,3987.0,66.6
TNA,exploration,controlled_variance,0,0.0,0.0,0.2,promo,-1.81,-0.8476,0.9624,4200.89,70.17
TNA,causal,twosls,0,0.0,0.0,0.2,promo,-1.81,-5.3597,3.5497,1202.96,20.09
TNA,baseline,greedy,0,0.4,0.0,0.2,promo,-1.81,-0.8201,0.9899,4319.32,72.15
TNA,exploration,controlled_variance,0,0.4,0.0,0.2,promo,-1.81,-1.5386,0.2714,3709.73,61.96
TNA,causal,twosls,0,0.4,0.0,0.2,promo,-1.81,-2.0,0.19,422.85,7.06
TNA,baseline,greedy,0,0.8,0.0,0.2,promo,-1.81,-1.4303,0.3797,4450.99,74.35
TNA,exploration,controlled_variance,0,0.8,0.0,0.2,promo,-1.81,-1.467,0.343,3870.81,64.66
TNA,causal,twosls,0,0.8,0.0,0.2,promo,-1.81,-2.0,0.19,1562.16,26.09
TPA,baseline,greedy,0,0.0,0.0,0.23,promo,-2.13,-0.3039,1.8261,3582.9,80.0
TPA,exploration,controlled_variance,0,0.0,0.0,0.23,promo,-2.13,-2.0907,0.0393,2868.46,64.05
