category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
TBR,causal,twosls,0,0.0,0.018,0.2,loop,-1.25,-1.3981,0.1481,1947.67,15.0
TBR,baseline,greedy,0,0.1,0.018,0.2,loop,-1.25,-0.1743,1.0757,2315.4,17.83
TBR,exploration,controlled_variance,0,0.1,0.018,0.2,loop,-1.25,-0.6438,0.6062,2673.01,20.59
TBR,causal,twosls,0,0.1,0.018,0.2,loop,-1.25,-2.0,0.75,2539.16,19.56
TBR,baseline,greedy,0,0.2,0.018,0.2,loop,-1.25,-0.2734,0.9766,2405.55,18.53
TBR,exploration,controlled_variance,0,0.2,0.018,0.2,loop,-1.25,-0.7034,0.5466,2762.84,21.28
TBR,causal,twosls,0,0.2,0.018,0.2,loop,-1.25,-2.0,0.75,2365.57,18.22
TBR,baseline,greedy,0,0.3,0.018,0.2,loop,-1.25,-0.4803,0.7697,2499.26,19.25
TBR,exploration,controlled_variance,0,0.3,0.018,0.2,loop,-1.25,-0.747,0.503,2855.85,22.0
TBR,causal,twosls,0,0.3,0.018,0.2,loop,-1.25,-2.0,0.75,2248.4,17.32
TBR,baseline,greedy,0,0.4,0.018,0.2,loop,-1.25,-0.5572,0.6928,2596.64,20.0
TBR,exploration,controlled_variance,0,0.4,0.018,0.2,loop,-1.25,-0.7837,0.4663,2952.29,22.74
TBR,causal,twosls,0,0.4,0.018,0.2,loop,-1.25,-2.0,0.75,2184.07,16.82
TBR,baseline,greedy,0,0.6,0.018,0.2,loop,-1.25,-0.6843,0.5657,2803.33,21.59
TBR,exploration,controlled_variance,0,0.6,0.018,0.2,loop,-1.25,-0.8451,0.4049,3157.12,24.32
TBR,causal,twosls,0,0.6,0.018,0.2,loop,-1.25,-2.0,0.75,2203.86,16.97
TBR,baseline,greedy,0,0.8,0.018,0.2,loop,-1.25,-0.783,0.467,3028.73,23.33
TBR,exploration,controlled_variance,0,0.8,0.018,0.2,loop,-1.25,-0.8682,0.3818,3381.75,26.05
TBR,causal,twosls,0,0.8,0.018,0.2,loop,-1.25,-2.0,0.75,2412.78,18.58
SOA,baseline,greedy,0,0.0,0.015,0.14,loop,-2.42,-0.3643,2.0557,4191.9,88.09
SOA,exploration,controlled_variance,0,0.0,0.015,0.14,loop,-2.42,-2.3412,0.0788,2129.52,44.75
SOA,causal,twosls,0,0.0,0.015,0.14,loop,-2.42,-2.0,0.42,197.47,4.15
SOA,baseline,greedy,0,0.1,0.015,0.14,loop,-2.42,-0.5326,1.8874,4219.6,88.67
SOA,exploration,controlled_variance,0,0.1,0.015,0.14,loop,-2.42,-2.3221,0.0979,1981.2,41.63
SOA,causal,twosls,0,0.1,0.015,0.14,loop,-2.42,-2.0,0.42,299.01,6.28
SOA,baseline,greedy,0,0.2,0.015,0.14,loop,-2.42,-1.0123,1.4077,4249.9,89.31
SOA,exploration,controlled_variance,0,0.2,0.015,0.14,loop,-2.42,-2.2792,0.1408,2170.44,45.61
SOA,causal,twosls,0,0.2,0.015,0.14,loop,-2.42,-2.0,0.42,433.0,9.1
SOA,baseline,greedy,0,0.3,0.015,0.14,loop,-2.42,-2.5852,0.1652,3984.28,83.73
SOA,exploration,controlled_variance,0,0.3,0.015,0.14,loop,-2.42,-2.2916,0.1284,2402.02,50.48
